energias,ZAPA,Gst ganado,Arreglo Gst,Coste de caja gst,GMT,Total GST ,Caja mb,HP%,Obtencion caja,Upgrades,TOTAL FECHA GST,TOTAL USDT FECHA,Fecha,Aclaraciones de Upgrades,Success LV1,Success LV2,Success LV3,Success LV4,JUGADOR,,Gem Stock,LV1,LV2,LV3,LV4,LV5,LV6,LV7,LV8,LV9,,,,MBS,Ganancia Bruta,Gst cost,Gst usd,Ganancia Total,Mes,
17,UNC-WL-432,47.8,4.8,264,,-221,6,44.86,6Elv1 + 2Elv2,100,-321,7,14/1/23,3Elv2 OK,,YES,,,MORROS,,,,,,,,,,,,,,,,,,,,,
17,UNC-WEG-168,300,21.8,,,278.2,F,77.37,,100,178.2,,15/1/23,3Elv2 F,,NO,,,MORROS,,,,,,,,,,,,,,LV3,5,3,3,1,,,
17,UNC-WEG-168,300,21.8,,,278.2,F,76.33,,,278.2,,16/1/23,,,,,,MORROS,,,,,,,,,,,,,,,130,189,525,67,911,,
17,UNC-WEG-168,300,21.8,,,278.2,F,75.29,,50,228.2,,17/1/23,3Llv1 OK,YES,,,,MORROS,,,,,,,,,,,,,,,,,,,,,
11.3,UNC-WL-432,35.6,2.8,107,,-74.2,5,43.98,3Rlv1 + 1Rlv2,100,-174.2,2,18/1/23,3Rlv2 OK,,YES,,,MORROS,,,,,,,,,,,,,,,,,,,,,
19,UNC-WL-432,52.7,5.7,263,,-216,6,42.38,6Elv1 + 2Rlv2,200,-416,5,19/1/23,3Rlv3 OK,,,YES,,MORROS,,,,,,,,,,,,,,,,,,,,,
11.2,UNC-WL-432,32.2,2.8,108,,-78.6,5,40.88,3Elv1 + 1Elv2,100,-178.6,4,20/1/23,3Rlv2 OK,,YES,,,MORROS,,,,,,,,,,,,,,,,,,,,,
17,UNC-WEG-168,299.7,21.8,,,277.9,F,74.23,,100,177.9,,21/1/23,3Rlv2 OK,,YES,,,MORROS,,,,,,,,,,,,,,,,,,,,,
17,UNC-WEG-168,300,21.8,,,278.2,F,73.18,,100,178.2,,22/1/23,3Rlv2 F,,NO,,,MORROS,,,,,,,,,,,,,,,,,,,,,
17,UNC-WEG-168,300,21.8,,,278.2,F,72.89,,200,78.2,,23/1/23,3Rlv3 OK,,,YES,,MORROS,,,,,,,,,,,,,,,,,,,,,
17,UNC-WEG-168,300,21.8,,,278.2,F,72.21,,100,178.2,,24/1/23,3Rlv2 F,,NO,,,MORROS,,,,,,,,,,,,,,,,,,,,,
16,UNC-WL-432,45.9,4.2,261,,-219.3,6,39.78,6Rlv1 + 2Clv2 + SUNC,,-219.3,21,25/1/23,,,,,,MORROS,,,,,,,,,,,,,,,,,,,,,
15,UNC-WL-432,43,4.2,273,,-234.2,6,38.62,6Clv1 + 2Llv2 ,100,-334.2,18,26/1/23,3Llv2 F,,NO,,,MORROS,,,,,,,,,,,,,,,,,,,,,
12.6,UNC-WL-432,38.2,4.2,258,,-224,6,38.12,6Elv1 + 2Elv2 + SCOM,50,-274,11,27/1/23,3Clv1 OK,YES,,,,MORROS,,,,,,,,,,,,,,,,,,,,,
12.6,UNC-WL-432,38.2,4.2,273,,-239,6,37.72,6Clv1 + 2Elv2 ,50,-289,8,28/1/23,3Clv1 F,NO,,,,MORROS,,,,,,,,,,,,,,,,,,,,,
30,UNC-WEG-168,420,36,,,384,F,71.51,,100,284,,29/1/23,3Elv2 OK,,YES,,,MORROS,,,,,,,,,,,,,,,,,,,,,
13.6,UNC-WL-432,39.05,3.8,281,,-245.75,6,36.56,6Elv1 + 2Elv2 ,50,-295.75,,30/1/23,3Clv1 OK,YES,,,,MORROS,,,,,,,,,,,,,,,,,,,,,
27.8,UNC-WEG-168,350,30,,,320,F,69.71,,50,270,,31/1/23,3Clv1 OK,YES,,,,MORROS,,,,,,,,,,,,,,,,,,,,,
17,UNC-WEG-168,300,21.8,,,278.2,F,67.71,,100,178.2,,1/2/23,3Elv2 OK,,YES,,,MORROS,,,,,,,,,,,,,,,,,,,,,
17,UNC-WEG-168,300,21.8,,,278.2,F,66.69,,100,178.2,,2/2/23,3Elv2 F,,NO,,,MORROS,,,,,,,,,,,,,,,,,,,,,
13.6,UNC-WL-432,40,7.8,259,,-226.8,6,35.43,6Clv1 + 1Rlv2 ,100,-326.8,6.2,3/2/23,3Elv2 OK,,YES,,,MORROS,,,,,,,,,,,,,,,,,,,,,
12.6,UNC-WL-432,36.7,7.6,100,,-70.9,5,34.43,3Llv1 + 1Clv2,100,-170.9,10,4/2/23,3Elv2 F,,NO,,,MORROS,,,,,,,,,,,,,,,,,,,,,
12,UNC-WL-432,37.1,7.6,266,,-236.5,6,33.43,6Rlv1 + 2Llv2 ,50,-286.5,12,4/2/23,3Clv1 fail,NO,,,,MORROS,,,,,,,,,,,,,,,,,,,,,
22,WEG-579,291,12,,,279,F,82.61,,100,179,,5/2/23,3Llv2 F,,NO,,,MORROS,,,,,,,,,,,,,,,,,,,,,
22,WEG-579,291,12,,,279,F,82.01,,100,179,,6/2/23,3Llv2 F,,NO,,,MORROS,,,,,,,,,,,,,,,,,,,,,
22,WEG-579,291,12,,,279,F,81.51,,50,229,,7/2/23,3Clv1 OK,YES,,,,MORROS,,,,,,,,,,,,,,,,,,,,,
22,WEG-579,291,12,,,279,F,81.01,,50,229,,8/2/23,3Clv1 F,NO,,,,MORROS,,,,,,,,,,,,,,,,,,,,,
13,UNC-WL-432,39,7.8,268,,-236.8,6,32.33,6Elv1 + 1Clv2 + 1Clv3,100,-336.8,62,9/2/23,3Rlv2 OK,,YES,,,MORROS,,,,,,,,,,,,,,,,,,,,,
21,UNC-WEG-168,410,26,,,384,F,64.08,,100,284,,10/2/23,3Rlv2 OK,,YES,,,MORROS,,,,,,,,,,,,,,,,,,,,,
14,UNC-WEG-168,298,13,,,285,F,62.78,,200,85,,11/2/23,3Rlv3 OK,,,YES,,MORROS,,,,,,,,,,,,,,,,,,,,,
6,WEGMT-889,,4.5,,3,-4.5,F,93.91,,200,-204.5,,11/2/23,3Rlv3 OK,,,YES,,MORROS,,,,,,,,,,,,,,,,,,,,,
13,UNC-WEG-168,245,12.3,,,232.7,F,62.12,,100,132.7,,12/2/23,3Rlv2 OK,,YES,,,MORROS,,,,,,,,,,,,,,,,,,,,,
16,UNC-WEG-168,285,12.3,,,272.7,F,61.22,,200,72.7,,13/2/23,3Rlv2 OK,,YES,,,MORROS,,,,,,,,,,,,,,,,,,,,,
16,WL-925,116.8,20,255,,-158.2,6,88.32,6Rlv1 + 2Clv2,100,-258.2,20,14/2/23,3Rlv2 OK,,YES,,,MORROS,,,,,,,,,,,,,,,,,,,,,
8,WL-925,77,10,100,,-33,5,87.87,3Elv1 + 1Clv2 ,100,-133,11.5,15/2/23,3Rlv2 OK,,YES,,,MORROS,,,,,,,,,,,,,,,,,,,,,
13,UNC-WL-432,37,7.8,261,,-231.8,6,31.23,6Rlv1 + 2Elv2,100,-331.8,7,15/2/23,3Rlv2 F,,NO,,,MORROS,,,,,,,,,,,,,,,,,,,,,
19,UNC-WEG-168,330,22.6,,,307.4,F,59.88,,50,257.4,,16/2/23,3Llv1 OK,YES,,,,MORROS,,,,,,,,,,,,,,,,,,,,,
21,UNC-WEG-168,370,26,,,344,F,59.33,,200,144,,17/2/23,3Rlv3 OK,,,YES,,MORROS,,,,,,,,,,,,,,,,,,,,,
20,RAREMHTE-020,300,9,,6.3,291,F,99.79,,200,91,,18/2/23,3Rlv3 OK,,,YES,,MORROS,,,,,,,,,,,,,,,,,,,,,
21,WL-925,300,36,255,,9,6,86.56,6Rlv1 + 1Elv2,200,-191,4,19/2/23,3Rlv3 OK,,,YES,,MORROS,,,,,,,,,,,,,,,,,,,,,
20,RAREMHTE-020,300,9,,7.1,291,F,99.42,,200,91,,19/2/23,3Rlv3 F,,,NO,,MORROS,,,,,,,,,,,,,,,,,,,,,
20,RAREMHTE-020,300,9,,4.9,291,F,99.12,,200,91,,20/2/23,3Elv3 OK,,,YES,,MORROS,,,,,,,,,,,,,,,,,,,,,
20,RAREMHTE-020,300,9,,9,291,F,98.82,,200,91,,21/2/23,3Rlv3 OK,,,YES,,MORROS,,,,,,,,,,,,,,,,,,,,,
20,RAREMHTE-020,300,9,,8,291,F,98.52,,200,91,,22/2/23,3Rlv3 F,,,NO,,MORROS,,,,,,,,,,,,,,,,,,,,,
7,RAREMHTE-020,160,4.5,,,155.5,F,98.42,,200,-44.5,,23/2/23,3Rlv3 OK,,,YES,,MORROS,,,,,,,,,,,,,,,,,,,,,
25,UNC-WL-432,66,2.88,1024,,-960.88,8,29.22,10Rlv1 + 6Llv2 + 1Clv3,200,-1160.88,72,24/2/23,3Rlv3 OK,,,YES,,MORROS,,,,,,,,,,,,,,,,,,,,,
10.2,WL-925,130,13,35,,82,4,85.86,2Elv1,100,-18,0.5,25/2/23,3Elv3 OK,,,YES,,MORROS,,,,,,,,,,,,,,,,,,,,,
20,WL-925,300,36,525,,-261,7,84.93,10Rlv1 + 4Rlv2,100,-361,4,26/2/23,3Clv2 OK,,YES,,,MORROS,,,,,,,,,,,,,,,,,,,,,
20,RAREMHTE-020,300,9,,10,291,F,98.02,,200,91,,27/2/23,3Clv2 OK,,YES,,,MORROS,,,,,,,,,,,,,,,,,,,,,
20,RAREMHTE-020,300,9,,10,291,F,97.89,,50,241,,28/2/23,3Clv1 OK,YES,,,,MORROS,,,,,,,,,,,,,,,,,,,,,
25,UNC-WL-432,68,2.88,1024,,-958.88,8,27.22,10Clv1 + 6Llv2,200,-1158.88,36,3/3/23,3Clv1 F,NO,,,,MORROS,,,,,,,,,,,,,,,,,,,,,
25,RARE-WL-1041,0,28.5,1024,28.3,-1052.5,8,99.49,10Rlv1 + 6Rlv2,200,-1252.5,11.5,3/3/23,3Rlv3 ok ,,,YES,,MORROS,,,,,,,,,,,,,,,,,,,,,
10,RAREMHTE-020,265,4.5,,,260.5,F,97.69,,100,160.5,,4/3/23,3Llv2 OK,,YES,,,MORROS,,,,,,,,,,,,,,,,,,,,,
5,RAREMHTE-020,135,3,,,132,F,97.49,,200,-68,,4/3/23,3Rlv2 OK,,YES,,,MORROS,,,,,,,,,,,,,,,,,,,,,
20,RARE-WL-1041,0,22,,25,-22,F,99.23,,50,-72,,5/3/23,3Llv3 OK,,,YES,,MORROS,,,,,,,,,,,,,,,,,,,,,
5,RAREMHTE-020,135,3,,,132,F,97.37,,50,82,,5/3/23,3Clv2 F,,NO,,,MORROS,,,,,,,,,,,,,,,,,,,,,
12.6,RAREMHTE-020,285,4.5,,,280.5,F,97.27,,50,230.5,,6/3/23,3Rlv3 F,,,NO,,MORROS,,,,,,,,,,,,,,,,,,,,,
13,RARE-WL-1041,,16,,15,-16,F,99.84,,200,-216,,6/3/23,3Rlv3 F,,,NO,,MORROS,,,,,,,,,,,,,,,,,,,,,
8,RARE-WL-1041,,11,,8.6,-11,F,99.71,,300,-311,,7/3/23,3Elv3 OK,,,YES,,MORROS,,,,,,,,,,,,,,,,,,,,,
12,RAREMHTE-020,300,4.5,,,295.5,F,96.99,,100,195.5,,7/3/23,3Rlv3 F,,,NO,,MORROS,,,,,,,,,,,,,,,,,,,,,
5,RARE-WL-1041,,8,,4.4,-8,F,99.61,,100,-108,,8/3/23,3Clv2 F,,NO,,,MORROS,,,,,,,,,,,,,,,,,,,,,
12,RAREMHTE-020,288,4.5,,,283.5,F,96.69,,200,83.5,,8/3/23,3Elv3 OK,,,YES,,MORROS,,,,,,,,,,,,,,,,,,,,,
5,RARE-WL-1041,,8,,4,-8,F,98.44,,200,-208,,9/3/23,3Rlv3 OK,,,YES,,MORROS,,,,,,,,,,,,,,,,,,,,,
11,RAREMHTE-020,282,4.5,,,277.5,F,96.49,,200,77.5,,9/3/23,3Llv3 OK,,,YES,,MORROS,,,,,,,,,,,,,,,,,,,,,
25,RARE-WL-1041,,28.5,1024,27,-1052.5,8,98.14,10Llv1 + 6Rlv2 + 1Rlv3,100,-1152.5,19,10/3/23,3Rlv3 F,,,NO,,MORROS,,,,,,,,,,,,,,,,,,,,,
5,UNC-WEG-168,99,13,,,86,F,55.08,,100,-14,,11/3/23,3Clv3 OK,,,YES,,MORROS,,,,,,,,,,,,,,,,,,,,,
25,RARE-WL-1041,,28.5,525,26.9,-553.5,7,97.62,10Llv1 + 4Llv2 ,200,-753.5,10,12/3/23,3Llv3 OK,,,YES,,MORROS,,,,,,,,,,,,,,,,,,,,,
10,RAREMHTE-020,273,4.5,,,268.5,F,96.29,,200,68.5,,12/3/23,3Clv2 F,,NO,,,MORROS,,,,,,,,,,,,,,,,,,,,,
10,RAREMHTE-020,277,4.5,,,272.5,F,96.09,,100,172.5,,13/3/23,3Clv2 F,,NO,,,MORROS,,,,,,,,,,,,,,,,,,,,,
11,RAREMHTE-020,300,4.5,,,295.5,F,95.89,,100,195.5,,14/3/23,3Clv2 F,,NO,,,MORROS,,,,,,,,,,,,,,,,,,,,,
10.4,RAREMHTE-020,300,4.5,,,295.5,F,95.69,,100,195.5,,15/3/23,3Clv2 OK,,YES,,,MORROS,,,,,,,,,,,,,,,,,,,,,
4.5,RARE-WL-1041,,8,,5.5,-8,F,97.52,,100,-108,,15/3/23,3Clv2 OK,,YES,,,MORROS,,,,,,,,,,,,,,,,,,,,,
25,RARE-WL-1041,,28.5,1824,26.66,-1852.5,9,97.01,10Elv1 + 9Llv2 + 1Llv3,100,-1952.5,71,16/3/23,3Clv3 F,,,NO,,MORROS,,,,,,,,,,,,,,,,,,,,,
10,RAREMHTE-020,283,4.5,,,278.5,F,95.39,,200,78.5,,16/3/23,3Elv3 OK,,,YES,,MORROS,,,,,,,,,,,,,,,,,,,,,
8,RAREMHTE-020,245,4.5,,,240.5,F,95.09,,200,40.5,,17/3/23,3Elv3 OK,,,YES,,MORROS,,,,,,,,,,,,,,,,,,,,,
25,RARE-WL-1041,,28.5,1024,31.3,-1052.5,8,96.49,10Elv1 + 6Rlv2 + 1Elv3,200,-1252.5,34,18/3/23,3Elv3 OK,,,YES,,MORROS,,,,,,,,,,,,,,,,,,,,,
5,RAREMHTE-020,135,4.5,,,130.5,F,94.79,,200,-69.5,,18/3/23,3Elv3 F,,,NO,,MORROS,,,,,,,,,,,,,,,,,,,,,
10,RARE-WL-1041,,12,,12.52,-12,F,96.31,,50,-62,,19/3/23,3Rlv3 F,,,NO,,MORROS,,,,,,,,,,,,,,,,,,,,,
10,RAREMHTE-020,272,1.5,,,270.5,F,94.59,,50,220.5,,19/3/23,3Rlv3 F,,,NO,,MORROS,,,,,,,,,,,,,,,,,,,,,
9,RAREMHTE-020,256,1.5,,,254.5,F,94.46,,50,204.5,,20/3/23,3Rlv3 F,,,NO,,MORROS,,,,,,,,,,,,,,,,,,,,,
10,RARE-WL-1041,,12,,13,-12,F,96.16,,100,-112,,20/3/23,3Rlv3 F,,,NO,,MORROS,,,,,,,,,,,,,,,,,,,,,
11.2,RAREMHTE-020,300,4.5,,,295.5,F,94.16,,100,195.5,,21/3/23,3Rlv3 F,,,NO,,MORROS,,,,,,,,,,,,,,,,,,,,,
8.8,RARE-WL-1041,,12,,10.16,-12,F,96.06,,100,-112,,21/3/23,3Rlv3 OK,,,YES,,MORROS,,,,,,,,,,,,,,,,,,,,,
10.6,RAREMHTE-020,300,4.5,,,295.5,F,93.88,,50,245.5,,22/3/23,3Rlv3 OK,,,YES,,MORROS,,,,,,,,,,,,,,,,,,,,,
7.2,RARE-WL-1041,,9,,8.53,-9,F,95.93,,100,-109,,22/3/23,3Rlv3 OK,,,YES,,MORROS,,,,,,,,,,,,,,,,,,,,,
10,RAREMHTE-020,300,4.5,,,295.5,F,93.62,,100,195.5,,23/3/23,3Rlv3 OK,,,YES,,MORROS,,,,,,,,,,,,,,,,,,,,,
6.4,RARE-WL-1041,,7.5,,6.64,-7.5,F,95.81,,200,-207.5,,23/3/23,3Rlv3 OK,,,YES,,MORROS,,,,,,,,,,,,,,,,,,,,,
25,RARE-WL-1041,,28.5,1024,30.3,-1052.5,8,95.31,10Clv1 + 6Clv2 + 1Rlv3,100,-1152.5,84,24/3/23,3Rlv3 OK,,,YES,,MORROS,,,,,,,,,,,,,,,,,,,,,
10,RAREMHTE-020,284,3,,,281,F,93.38,,200,81,,24/3/23,3Rlv3 OK,,,YES,,MORROS,,,,,,,,,,,,,,,,,,,,,
25,RARE-WL-1041,,28.5,1024,26.5,-1052.5,8,94.81,10Rlv1 + 6Elv2 + 1Rlv3,,-1052.5,33,26/3/23,3Rlv3 OK,,,YES,,MORROS,,,,,,,,,,,,,,,,,,,,,
10,RAREMHTE-020,279,3,,,276,F,93.14,,,276,,26/3/23,3Llv3 OK,,,YES,,MORROS,,,,,,,,,,,,,,,,,,,,,
6.6,RARE-WL-1041,,4.5,,7.71,-4.5,F,94.68,,,-4.5,,27/3/23,3Llv3 OK,,,YES,,MORROS,,,,,,,,,,,,,,,,,,,,,
10.6,RAREMHTE-020,297,3,,,294,F,92.85,,,294,,27/3/23,3Rlv4 OK,,,,YES,MORROS,,,,,,,,,,,,,,,,,,,,,
7.6,RARE-WL-1041,,4.5,,8.21,-4.5,F,94.53,,,-4.5,,28/3/23,3Rlv4 OK,,,,YES,MORROS,,,,,,,,,,,,,,,,,,,,,
10.6,RAREMHTE-020,296,3,,,293,F,92.61,,,293,,28/3/23,3Llv4 OK,,,,YES,MORROS,,,,,,,,,,,,,,,,,,,,,
4.6,RARE-WL-1041,,6,,5.07,-6,F,94.46,,,-6,,29/3/23,3Rlv3 OK,,,YES,,MORROS,,,,,,,,,,,,,,,,,,,,,
11,RAREMHTE-020,299,1.5,,,297.5,F,92.32,,,297.5,,29/3/23,3Rlv3 OK,,,YES,,MORROS,,,,,,,,,,,,,,,,,,,,,
12.4,RARE-WL-1041,,16,,8.5,-16,F,94.34,,,-16,,30/3/23,3Rlv3 OK,,,YES,,MORROS,,,,,,,,,,,,,,,,,,,,,
11,RAREMHTE-020,297,1.5,,,295.5,F,91.99,,,295.5,,30/3/23,3Rlv3 OK,,,YES,,MORROS,,,,,,,,,,,,,,,,,,,,,
8.6,RARE-WL-1041,,6,,10.33,-6,F,94.16,,,-6,,31/3/23,3Rlv3 OK,,,YES,,MORROS,,,,,,,,,,,,,,,,,,,,,
11,RAREMHTE-020,293,1.5,,,291.5,F,91.78,,,291.5,,31/3/23,3Rlv3 F,,,NO,,MORROS,,,,,,,,,,,,,,,,,,,,,
25,RARE-WL-1041,,28.5,1024,35,-1052.5,8,93.66,10Rlv1 + 6Rlv2 + 1Clv3,100,-1152.5,80,1/4/23,3Rlv3 F,,,NO,,MORROS,,,,,,,,,,,,,,,,,,,,,
25,RARE-WL-1041,,28.5,1300,31.75,-1328.5,8,93.16,10Rlv1 + 6Elv2 + 1Elv3,100,-1428.5,30,2/4/23,3Llv3 F,,,NO,,MORROS,,,,,,,,,,,,,,,,,,,,,
11,RAREMHTE-020,300,1.5,,,298.5,F,91.52,,200,98.5,,3/4/23,3Llv3 F,,,NO,,MORROS,,,,,,,,,,,,,,,,,,,,,
3.8,RARE-WL-1041,,4.5,,4,-4.5,F,93.09,,100,-104.5,,3/4/23,3Clv2 F,,NO,,,MORROS,,,,,,,,,,,,,,,,,,,,,
10.6,RAREMHTE-020,278,1.5,,,276.5,F,,,100,176.5,,4/4/23,3Elv3 OK,,,YES,,MORROS,,,,,,,,,,,,,,,,,,,,,
9,RARE-WL-1041,,4.5,,10,-4.5,F,,,50,-54.5,,4/4/23,3Elv3 F,,,NO,,MORROS,,,,,,,,,,,,,,,,,,,,,
9.6,RAREMHTE-020,260,1.5,,,258.5,F,,,200,58.5,,5/4/23,3Llv3 F,,,NO,,MORROS,,,,,,,,,,,,,,,,,,,,,
9,RARE-WL-1041,,4.5,,8.9,-4.5,F,,,200,-204.5,,6/4/23,3Elv3 F,,,NO,,MORROS,,,,,,,,,,,,,,,,,,,,,
11,RAREMHTE-020,294,1.5,,,292.5,F,,,200,92.5,,6/4/23,3Rlv3 OK,,,YES,,MORROS,,,,,,,,,,,,,,,,,,,,,
9,RARE-WL-1041,,4.5,,9,-4.5,F,,,200,-204.5,,7/4/23,3Clv3 OK,,,YES,,MORROS,,,,,,,,,,,,,,,,,,,,,
11,RAREMHTE-020,298,1.5,,,296.5,F,90.52,,100,196.5,,7/4/23,3Elv3 OK,,,YES,,MORROS,,,,,,,,,,,,,,,,,,,,,
9,RARE-WL-1041,,4.5,,11.5,-4.5,F,92.49,,200,-204.5,,8/4/23,3Llv3 OK,,,YES,,MORROS,,,,,,,,,,,,,,,,,,,,,
9,RAREMHTE-020,260,1.5,,,258.5,F,90.28,,200,58.5,,8/4/23,3Llv3 OK,,,YES,,MORROS,,,,,,,,,,,,,,,,,,,,,
25,RARE-WL-1041,,28.5,541,24.82,-569.5,7,91.92,6Clv1 + 3Clv2 ,200,-769.5,39,9/4/23,3Rlv3 F,,,NO,,MORROS,,,,,,,,,,,,,,,,,,,,,
9,RAREMHTE-020,249,1.5,,,247.5,F,89.83,,200,47.5,,10/4/23,3Rlv3 OK,,,YES,,MORROS,,,,,,,,,,,,,,,,,,,,,
15,RARE-WL-1041,,16,327,10.8,-343,6,91.42,6Rlv1 + 2Clv2 ,200,-543,22,11/4/23,3Clv3 OK,,,YES,,MORROS,,,,,,,,,,,,,,,,,,,,,
11,RAREMHTE-020,300,1.5,,,298.5,F,89.23,,200,98.5,,11/4/23,3Llv3 OK,,,YES,,MORROS,,,,,,,,,,,,,,,,,,,,,
9,RARE-WL-1041,,4.5,,7,-4.5,F,91.02,,200,-204.5,,12/4/23,3Clv3 OK,,,YES,,MORROS,,,,,,,,,,,,,,,,,,,,,
11,RAREMHTE-020,300,1.5,,,298.5,F,88.73,,200,98.5,,12/4/23,3Clv2 F,,NO,,,MORROS,,,,,,,,,,,,,,,,,,,,,
7.6,RARE-WL-1041,,4.5,,5.33,-4.5,F,90.72,,200,-204.5,,13/4/23,3Clv2 F,,NO,,,MORROS,,,,,,,,,,,,,,,,,,,,,
10.4,RAREMHTE-020,297,1.5,,,295.5,F,88.23,,50,245.5,,13/4/23,3Llv3 F,,,NO,,MORROS,,,,,,,,,,,,,,,,,,,,,
8.6,RARE-WL-1041,,4.5,,4.21,-4.5,F,,,100,-104.5,,14/4/23,3Llv3 F,,,NO,,MORROS,,,,,,,,,,,,,,,,,,,,,
10.4,RAREMHTE-020,300,1.5,,,298.5,F,,,50,248.5,,14/4/23,3Rlv3 F,,,NO,,MORROS,,,,,,,,,,,,,,,,,,,,,
3.6,RARE-WL-1041,,4.5,,2.24,-4.5,F,90.41,,50,-54.5,,15/4/23,3Clv3 F,,,NO,,MORROS,,,,,,,,,,,,,,,,,,,,,
11.2,RAREMHTE-020,297,1.5,,,295.5,F,87.17,,50,245.5,,15/4/23,3Clv3 F,,,NO,,MORROS,,,,,,,,,,,,,,,,,,,,,
13.8,RARE-WL-1041,,16.5,260,10,-276.5,6,90.01,6Elv1 + 2Clv2,200,-476.5,22,16/4/23,3Clv3 OK,,,YES,,MORROS,,,,,,,,,,,,,,,,,,,,,
15.6,RARE-WL-1041,,16.5,256,14.8,-272.5,6,89.46,6Llv1 + 2Rlv2,200,-472.5,5,16/4/23,3Elv3 F,,,NO,,MORROS,,,,,,,,,,,,,,,,,,,,,
10,RAREMHTE-020,273,1.5,,,271.5,F,87.17,,200,71.5,,16/4/23,3Elv3 OK,,,YES,,MORROS,,,,,,,,,,,,,,,,,,,,,
10.8,RAREMHTE-020,300,4.5,,,295.5,F,,,100,195.5,,17/4/23,3Elv3 OK,,,YES,,MORROS,,,,,,,,,,,,,,,,,,,,,
11,RAREMHTE-020,300,1.5,,,298.5,F,86.11,,200,98.5,,18/4/23,3Elv3 OK,,,YES,,MORROS,,,,,,,,,,,,,,,,,,,,,
9.4,UNC-WEG-168,192,28,,,164,F,53.81,,200,-36,,19/4/23,3Clv4 F,,,,NO,MORROS,,,,,,,,,,,,,,,,,,,,,
14.4,RARE-WL-1041,,16,279,13.13,-295,6,,6Elv1 + 2Elv2,200,-495,9.4,19/4/23,3Elv2 OK,,YES,,,MORROS,,,,,,,,,,,,,,,,,,,,,
11,RAREMHTE-020,105,1.5,,,103.5,F,85.85,,200,-96.5,,19/4/23,3Llv3 OK,,,YES,,MORROS,,,,,,,,,,,,,,,,,,,,,
10.6,RAREMHTE-020,265,1.5,,,263.5,F,85.68,,200,63.5,,20/4/23,3Rlv3 OK,,,YES,,MORROS,,,,,,,,,,,,,,,,,,,,,
24.4,RARE-WL-1041,,28.5,540,21.47,-568.5,7,88.47,10Rlv1 + 3Llv2,200,-768.5,11,21/4/23,3Rlv3 OK,,,YES,,MORROS,,,,,,,,,,,,,,,,,,,,,
11,RAREMHTE-020,300,1.5,,,298.5,F,85.38,,100,198.5,,21/4/23,3Clv2 F,,NO,,,MORROS,,,,,,,,,,,,,,,,,,,,,
11,RAREMHTE-020,300,1.5,,,298.5,F,85.08,,200,98.5,,22/4/23,3Rlv3 F,,,NO,,MORROS,,,,,,,,,,,,,,,,,,,,,
10,RARE-WL-1041,,12,,10.17,-12,F,87.99,,100,-112,,23/4/23,3Clv1 F,NO,,,,MORROS,,,,,,,,,,,,,,,,,,,,,
11,RAREMHTE-020,300,3,,,297,F,84.41,,100,197,,23/4/23,3Clv1 F,NO,,,,MORROS,,,,,,,,,,,,,,,,,,,,,
2.6,UNC-WEG-168,50,3.33,,,46.67,F,53.55,,100,-53.33,,24/4/23,3Clv1 OK,YES,,,,MORROS,,,,,,,,,,,,,,,,,,,,,
9,RAREMHTE-020,250,1.5,,,248.5,F,84.16,,200,48.5,,24/4/23,3Rlv3 OK,,,YES,,MORROS,,,,,,,,,,,,,,,,,,,,,
5.4,RARE-WL-1041,,4.5,,4.34,-4.5,F,87.85,,50,-54.5,,25/4/23,3Rlv4 OK,,,,YES,MORROS,,,,,,,,,,,,,,,,,,,,,
5.8,UNC-WEG-168,109,6.66,,,102.34,F,53.29,,50,52.34,,25/4/23,3Rlv2 OK,,YES,,,MORROS,,,,,,,,,,,,,,,,,,,,,
8.4,RAREMHTE-020,210,1.5,,,208.5,F,83.95,,200,8.5,,25/4/23,3Rlv2 F,,NO,,,MORROS,,,,,,,,,,,,,,,,,,,,,
11.6,RARE-WL-1041,,12,269,10.4,-281,6,87.55,6Rlv1 + 2Rlv2,50,-331,3,26/4/23,3Rlv3 OK,,,YES,,MORROS,,,,,,,,,,,,,,,,,,,,,
12.6,RARE-WL-1041,,12,266,9.78,-278,6,87.25,6Elv1 + 2Llv2,50,-328,6,26/4/23,3Rlv3 OK,,,YES,,MORROS,,,,,,,,,,,,,,,,,,,,,
4.6,RAREMHTE-020,136,1.5,,,134.5,F,83.74,,200,-65.5,,26/4/23,3Rlv3 OK,,,YES,,MORROS,,,,,,,,,,,,,,,,,,,,,
11,RAREMHTE-020,300,1.5,,,298.5,F,83.34,,,298.5,,27/4/23,3Rlv2 F,,NO,,,MORROS,,,,,,,,,,,,,,,,,,,,,
2.8,RARE-WL-1041,,3,,,-3,F,87.18,,,-3,,27/4/23,3Rlv2 F,,NO,,,MORROS,,,,,,,,,,,,,,,,,,,,,
7.2,RAREMHTE-020,200,1.5,,,198.5,F,82.96,,,198.5,,28/4/23,3Rlv3 OK,,,YES,,MORROS,,,,,,,,,,,,,,,,,,,,,
3.2,RARE-WL-1041,,4.5,,3,-4.5,F,87.11,,,-4.5,,28/4/23,3Rlv3 OK,,,YES,,MORROS,,,,,,,,,,,,,,,,,,,,,
5,UNC-WEG-168,99,6.6,,,92.4,F,52.92,,,92.4,,28/4/23,3Rlv2 OK,,YES,,,MORROS,,,,,,,,,,,,,,,,,,,,,
8,RAREMHTE-020,230,3,,,227,F,82.76,,,227,,29/4/23,3Rlv2 F,,NO,,,MORROS,,,,,,,,,,,,,,,,,,,,,
