Energias,ZAPA,Gst ganado,Arreglo Gst,Coste de caja gst,GMT,Total GST ,Caja mb,HP%,Obtencion caja,Upgrades,TOTAL FECHA GST,TOTAL USDT FECHA,Fecha,Aclaraciones de Upgrades,Success LV1,Success LV2,Success LV3,Success LV4,Porcentajes ,lv1,lv2,lv3,lv4,,OK,gemas l1,gemaslv2,gemas lv3,gemas lv4
4,WEGMT-889,,6,,1.98,-6,F,98.02,,,-6,,3/11/22,3Elv1 fail,NO,,,,,,,,,,,,,,
20,UNC-WL-432,59.3,5.2,114,,-59.9,5,84.68,3Rlv1 + 1Elv2,,-59.9,2.9,5/11/22,3Elv1 fail,NO,,,,,,,,,,,,,,
4,WEG-579,27.6,1,,,26.6,F,92.54,,,26.6,,5/11/22,3Elv1 fail,NO,,,,,,,,,,,,,,
16,WEG-579,131,6.6,,,124.4,F,91.71,,50,74.4,,6/11/22,3Rlv1 Fail,NO,,,,,,,,,,,,,,
20,UNC-WL-432,60.6,5.78,107,,-52.18,5,82.92,3Llv1 + 1Elv2,50,-102.18,3.3,7/11/22,3Llv1 Fail,NO,,,,,,,,,,,,,,
12,WEG-579,88.7,4.5,,,84.2,F,91.16,,50,34.2,,8/11/22,3Llv1 Fail,NO,,,,,,,,,,,,,,
18,WEG-579,143.8,5.4,,,138.4,F,90.14,,50,88.4,,9/11/22,3Llv1 Fail,NO,,,,,,,,,,,,,,
16,WEG-579,125.9,6.6,,,119.3,F,89.37,,50,69.3,,10/11/22,3Rlv1 OK,YES,,,,,,,,,,,,,,
20,UNC-WL-432,60.4,5.8,411,,-356.4,6,81.31,3Clv1 + 2Elv2,50,-406.4,8.8,11/11/22,3Llv1 OK,YES,,,,,,,,,,,,,,
8,WEG-579,54.6,2.2,,,52.4,F,88.79,,50,2.4,,12/11/22,3Elv1 OK,YES,,,,,,,,,,,,,,
20,UNC-WL-432,58.7,5.76,525,,-472.06,7,79.69,10Clv1 + 4Elv2,50,-522.06,19.1,13/11/22,3Elv1 Fail,NO,,,,,,,,,,,,,,
20,UNC-WL-432,60.2,5.76,255,,-200.56,6,77.92,6Elv1 + 2Llv2 + 1Rlv3,50,-250.56,12.9,14/11/22,3Elv1 Fail,NO,,,,,,,,,,,,,,
20,UNC-WL-432,59.9,5.76,255,,-200.86,6,76.24,6Elv1 + 2Elv2,50,-250.86,6.1,15/11/22,3Clv1 fail,NO,,,,,,,,,,,,,,
12,WEG-579,90.1,4.5,,,85.6,F,88.53,,100,-14.4,,16/11/22,3Rlv2 fail,NO,NO,,,,,,,,,,,,,
16,WEG-579,127.9,6.6,,,121.3,F,87.58,,50,71.3,,17/11/22,3Clv1 fail,NO,,,,,,,,,,,,,,
