Energias,ZAPA,Gst ganado,Arreglo Gst,Coste de caja gst,GMT,Total GST ,Caja mb,HP%,Obtencion caja,Upgrades,TOTAL FECHA GST,TOTAL USDT FECHA,Fecha,Aclaraciones de Upgrades,Success LV1,Success LV2,Success LV3,Success LV4,Porcentajes ,lv1,lv2,lv3,lv4,,OK,gemas l1,gemaslv2,gemas lv3,gemas lv4
5,RARE-WL-1041,,8,,4.4,-8,F,99.61,,100,-108,,8/3/23,3Clv2 F,,NO,,,,,,,,,,,,,
12,RAREMHTE-020,288,4.5,,,283.5,F,96.69,,200,83.5,,8/3/23,3Elv3 OK,,,YES,,,,,,,,,,,,
5,RARE-WL-1041,,8,,4,-8,F,98.44,,200,-208,,9/3/23,3Rlv3 OK,,,YES,,,,,,,,,,,,
11,RAREMHTE-020,282,4.5,,,277.5,F,96.49,,200,77.5,,9/3/23,3Llv3 OK,,,YES,,,,,,,,,,,,
25,RARE-WL-1041,,28.5,1024,27,-1052.5,8,98.14,10Llv1 + 6Rlv2 + 1Rlv3,100,-1152.5,19,10/3/23,3Rlv3 F,,,NO,,,,,,,,,,,,
5,UNC-WEG-168,99,13,,,86,F,55.08,,100,-14,,11/3/23,3Clv3 OK,,,YES,,,,,,,,,,,,
25,RARE-WL-1041,,28.5,525,26.9,-553.5,7,97.62,10Llv1 + 4Llv2 ,200,-753.5,10,12/3/23,3Llv3 OK,,,YES,,,,,,,,,,,,
10,RAREMHTE-020,273,4.5,,,268.5,F,96.29,,200,68.5,,12/3/23,3Clv2 F,,NO,,,,,,,,,,,,,
10,RAREMHTE-020,277,4.5,,,272.5,F,96.09,,100,172.5,,13/3/23,3Clv2 F,,NO,,,,,,,,,,,,,
11,RAREMHTE-020,300,4.5,,,295.5,F,95.89,,100,195.5,,14/3/23,3Clv2 F,,NO,,,,,,,,,,,,,
10.4,RAREMHTE-020,300,4.5,,,295.5,F,95.69,,100,195.5,,15/3/23,3Clv2 OK,,YES,,,,,,,,,,,,,
4.5,RARE-WL-1041,,8,,5.5,-8,F,97.52,,100,-108,,15/3/23,3Clv2 OK,,YES,,,,,,,,,,,,,
25,RARE-WL-1041,,28.5,1824,26.66,-1852.5,9,97.01,10Elv1 + 9Llv2 + 1Llv3,100,-1952.5,71,16/3/23,3Clv3 F,,,NO,,,,,,,,,,,,
10,RAREMHTE-020,283,4.5,,,278.5,F,95.39,,200,78.5,,16/3/23,3Elv3 OK,,,YES,,,,,,,,,,,,
8,RAREMHTE-020,245,4.5,,,240.5,F,95.09,,200,40.5,,17/3/23,3Elv3 OK,,,YES,,,,,,,,,,,,
25,RARE-WL-1041,,28.5,1024,31.3,-1052.5,8,96.49,10Elv1 + 6Rlv2 + 1Elv3,200,-1252.5,34,18/3/23,3Elv3 OK,,,YES,,,,,,,,,,,,
5,RAREMHTE-020,135,4.5,,,130.5,F,94.79,,200,-69.5,,18/3/23,3Elv3 F,,,NO,,,,,,,,,,,,
10,RARE-WL-1041,,12,,12.52,-12,F,96.31,,50,-62,,19/3/23,3Rlv3 F,,,NO,,,,,,,,,,,,
10,RAREMHTE-020,272,1.5,,,270.5,F,94.59,,50,220.5,,19/3/23,3Rlv3 F,,,NO,,,,,,,,,,,,
9,RAREMHTE-020,256,1.5,,,254.5,F,94.46,,50,204.5,,20/3/23,3Rlv3 F,,,NO,,,,,,,,,,,,
10,RARE-WL-1041,,12,,13,-12,F,96.16,,100,-112,,20/3/23,3Rlv3 F,,,NO,,,,,,,,,,,,
11.2,RAREMHTE-020,300,4.5,,,295.5,F,94.16,,100,195.5,,21/3/23,3Rlv3 F,,,NO,,,,,,,,,,,,
8.8,RARE-WL-1041,,12,,10.16,-12,F,96.06,,100,-112,,21/3/23,3Rlv3 OK,,,YES,,,,,,,,,,,,
10.6,RAREMHTE-020,300,4.5,,,295.5,F,93.88,,50,245.5,,22/3/23,3Rlv3 OK,,,YES,,,,,,,,,,,,
7.2,RARE-WL-1041,,9,,8.53,-9,F,95.93,,100,-109,,22/3/23,3Rlv3 OK,,,YES,,,,,,,,,,,,
10,RAREMHTE-020,300,4.5,,,295.5,F,93.62,,100,195.5,,23/3/23,3Rlv3 OK,,,YES,,,,,,,,,,,,
6.4,RARE-WL-1041,,7.5,,6.64,-7.5,F,95.81,,200,-207.5,,23/3/23,3Rlv3 OK,,,YES,,,,,,,,,,,,
25,RARE-WL-1041,,28.5,1024,33.3,-1052.5,8,95.31,10Clv1 + 6Clv2 + 1Rlv3,100,-1152.5,84,24/3/23,3Rlv3 OK,,,YES,,,,,,,,,,,,
10,RAREMHTE-020,284,3,,,281,F,93.38,,200,81,,24/3/23,3Rlv3 OK,,,YES,,,,,,,,,,,,
25,RARE-WL-1041,,28.5,1024,26.5,-1052.5,8,94.81,10Rlv1 + 6Elv2 + 1Rlv3,,-1052.5,33,26/3/23,3Rlv3 OK,,,YES,,,,,,,,,,,,
10,RAREMHTE-020,279,3,,,276,F,93.14,,,276,,26/3/23,3Llv3 OK,,,YES,,,,,,,,,,,,
6.6,RARE-WL-1041,,4.5,,7.71,-4.5,F,94.68,,,-4.5,,27/3/23,3Llv3 OK,,,YES,,,,,,,,,,,,
10.6,RAREMHTE-020,297,3,,,294,F,92.85,,,294,,27/3/23,3Rlv4 OK,,,,YES,,,,,,,,,,,
7.6,RARE-WL-1041,,4.5,,8.21,-4.5,F,94.53,,,-4.5,,28/3/23,3Rlv4 OK,,,,YES,,,,,,,,,,,
10.6,RAREMHTE-020,296,3,,,293,F,92.61,,,293,,28/3/23,3Llv4 OK,,,,YES,,,,,,,,,,,
4.6,RARE-WL-1041,,6,,5.07,-6,F,94.46,,,-6,,29/3/23,3Rlv3 OK,,,YES,,,,,,,,,,,,
11,RAREMHTE-020,299,1.5,,,297.5,F,92.32,,,297.5,,29/3/23,3Rlv3 OK,,,YES,,,,,,,,,,,,
12.4,RARE-WL-1041,,16,,8.5,-16,F,94.34,,,-16,,30/3/23,3Rlv3 OK,,,YES,,,,,,,,,,,,
11,RAREMHTE-020,297,1.5,,,295.5,F,91.99,,,295.5,,30/3/23,3Rlv3 OK,,,YES,,,,,,,,,,,,
8.6,RARE-WL-1041,,6,,10.33,-6,F,94.16,,,-6,,31/3/23,3Rlv3 OK,,,YES,,,,,,,,,,,,
11,RAREMHTE-020,293,1.5,,,291.5,F,91.78,,,291.5,,31/3/23,3Rlv3 F,,,NO,,,,,,,,,,,,
25,RARE-WL-1041,,28.5,1024,35,-1052.5,8,93.66,10Rlv1 + 6Rlv2 + 1Clv3,100,-1152.5,80,1/4/23,3Rlv3 F,,,NO,,,,,,,,,,,,
25,RARE-WL-1041,,28.5,1300,31.75,-1328.5,8,93.16,10Rlv1 + 6Elv2 + 1Elv3,100,-1428.5,30,2/4/23,3Llv3 F,,,NO,,,,,,,,,,,,
11,RAREMHTE-020,300,1.5,,,298.5,F,91.52,,200,98.5,,3/4/23,3Llv3 F,,,NO,,,,,,,,,,,,
3.8,RARE-WL-1041,,4.5,,4,-4.5,F,93.09,,100,-104.5,,3/4/23,3Clv2 F,,NO,,,,,,,,,,,,,
10.6,RAREMHTE-020,278,1.5,,,276.5,F,,,100,176.5,,4/4/23,3Elv3 OK,,,YES,,,,,,,,,,,,
9,RARE-WL-1041,,4.5,,10,-4.5,F,,,50,-54.5,,4/4/23,3Elv3 F,,,NO,,,,,,,,,,,,
9.6,RAREMHTE-020,260,1.5,,,258.5,F,,,200,58.5,,5/4/23,3Llv3 F,,,NO,,,,,,,,,,,,
9,RARE-WL-1041,,4.5,,8.9,-4.5,F,,,200,-204.5,,6/4/23,3Elv3 F,,,NO,,,,,,,,,,,,
11,RAREMHTE-020,294,1.5,,,292.5,F,,,200,92.5,,6/4/23,3Rlv3 OK,,,YES,,,,,,,,,,,,
9,RARE-WL-1041,,4.5,,9,-4.5,F,,,200,-204.5,,7/4/23,3Clv3 OK,,,YES,,,,,,,,,,,,
11,RAREMHTE-020,298,1.5,,,296.5,F,90.52,,100,196.5,,7/4/23,3Elv3 OK,,,YES,,,,,,,,,,,,
9,RARE-WL-1041,,4.5,,14.5,-4.5,F,92.49,,200,-204.5,,8/4/23,3Llv3 OK,,,YES,,,,,,,,,,,,
9,RAREMHTE-020,260,1.5,,,258.5,F,90.28,,200,58.5,,8/4/23,3Llv3 OK,,,YES,,,,,,,,,,,,
25,RARE-WL-1041,,28.5,541,31.82,-569.5,7,91.92,6Clv1 + 3Clv2 ,200,-769.5,39,9/4/23,3Rlv3 F,,,NO,,,,,,,,,,,,
9,RAREMHTE-020,249,1.5,,,247.5,F,89.83,,200,47.5,,10/4/23,3Rlv3 OK,,,YES,,,,,,,,,,,,
15,RARE-WL-1041,,16,327,10.8,-343,6,91.42,6Rlv1 + 2Clv2 ,200,-543,22,11/4/23,3Clv3 OK,,,YES,,,,,,,,,,,,
11,RAREMHTE-020,300,1.5,,,298.5,F,89.23,,200,98.5,,11/4/23,3Llv3 OK,,,YES,,,,,,,,,,,,
9,RARE-WL-1041,,4.5,,7,-4.5,F,91.02,,200,-204.5,,12/4/23,3Clv3 OK,,,YES,,,,,,,,,,,,
11,RAREMHTE-020,300,1.5,,,298.5,F,88.73,,200,98.5,,12/4/23,3Clv2 F,,NO,,,,,,,,,,,,,
7.6,RARE-WL-1041,,4.5,,9.33,-4.5,F,90.72,,200,-204.5,,13/4/23,3Clv2 F,,NO,,,,,,,,,,,,,
10.4,RAREMHTE-020,297,1.5,,,295.5,F,88.23,,50,245.5,,13/4/23,3Llv3 F,,,NO,,,,,,,,,,,,
8.6,RARE-WL-1041,,4.5,,10.21,-4.5,F,,,100,-104.5,,14/4/23,3Llv3 F,,,NO,,,,,,,,,,,,
10.4,RAREMHTE-020,300,1.5,,,298.5,F,,,50,248.5,,14/4/23,3Rlv3 F,,,NO,,,,,,,,,,,,
3.6,RARE-WL-1041,,4.5,,2.24,-4.5,F,90.41,,50,-54.5,,15/4/23,3Clv3 F,,,NO,,,,,,,,,,,,
11.2,RAREMHTE-020,297,1.5,,,295.5,F,87.17,,50,245.5,,15/4/23,3Clv3 F,,,NO,,,,,,,,,,,,
13.8,RARE-WL-1041,,16.5,260,15,-276.5,6,90.01,6Elv1 + 2Clv2,200,-476.5,22,16/4/23,3Clv3 OK,,,YES,,,,,,,,,,,,
15.6,RARE-WL-1041,,16.5,256,14.8,-272.5,6,89.46,6Llv1 + 2Rlv2,200,-472.5,5,16/4/23,3Elv3 F,,,NO,,,,,,,,,,,,
10,RAREMHTE-020,273,1.5,,,271.5,F,87.17,,200,71.5,,16/4/23,3Elv3 OK,,,YES,,,,,,,,,,,,
10.8,RAREMHTE-020,300,4.5,,,295.5,F,,,100,195.5,,17/4/23,3Elv3 OK,,,YES,,,,,,,,,,,,
11,RAREMHTE-020,300,1.5,,,298.5,F,86.11,,200,98.5,,18/4/23,3Elv3 OK,,,YES,,,,,,,,,,,,
9.4,UNC-WEG-168,192,28,,,164,F,53.81,,200,-36,,19/4/23,3Clv4 F,,,,NO,,,,,,,,,,,
14.4,RARE-WL-1041,,16,279,17.13,-295,6,,6Elv1 + 2Elv2,200,-495,9.4,19/4/23,3Elv2 OK,,YES,,,,,,,,,,,,,
11,RAREMHTE-020,105,1.5,,,103.5,F,85.85,,200,-96.5,,19/4/23,3Llv3 OK,,,YES,,,,,,,,,,,,
10.6,RAREMHTE-020,265,1.5,,,263.5,F,85.68,,200,63.5,,20/4/23,3Rlv3 OK,,,YES,,,,,,,,,,,,
24.4,RARE-WL-1041,,28.5,540,33.47,-568.5,7,88.47,10Rlv1 + 3Llv2,200,-768.5,11,21/4/23,3Rlv3 OK,,,YES,,,,,,,,,,,,
11,RAREMHTE-020,300,1.5,,,298.5,F,85.38,,100,198.5,,21/4/23,3Clv2 F,,NO,,,,,,,,,,,,,
11,RAREMHTE-020,300,1.5,,,298.5,F,85.08,,200,98.5,,22/4/23,3Rlv3 F,,,NO,,,,,,,,,,,,
10,RARE-WL-1041,,12,,12.17,-12,F,87.99,,100,-112,,23/4/23,3Clv1 F,NO,,,,,,,,,,,,,,
11,RAREMHTE-020,300,3,,,297,F,84.41,,100,197,,23/4/23,3Clv1 F,NO,,,,,,,,,,,,,,
2.6,UNC-WEG-168,50,3.33,,,46.67,F,53.55,,100,-53.33,,24/4/23,3Clv1 OK,YES,,,,,,,,,,,,,,
9,RAREMHTE-020,250,1.5,,,248.5,F,84.16,,200,48.5,,24/4/23,3Rlv3 OK,,,YES,,,,,,,,,,,,
5.4,RARE-WL-1041,,4.5,,4.34,-4.5,F,87.85,,50,-54.5,,25/4/23,3Rlv4 OK,,,,YES,,,,,,,,,,,
5.8,UNC-WEG-168,109,6.66,,,102.34,F,53.29,,50,52.34,,25/4/23,3Rlv2 OK,,YES,,,,,,,,,,,,,
8.4,RAREMHTE-020,210,1.5,,,208.5,F,83.95,,200,8.5,,25/4/23,3Rlv2 F,,NO,,,,,,,,,,,,,
11.6,RARE-WL-1041,,12,269,13.4,-281,6,87.55,6Rlv1 + 2Rlv2,50,-331,3,26/4/23,3Rlv3 OK,,,YES,,,,,,,,,,,,
12.6,RARE-WL-1041,,12,266,12.78,-278,6,87.25,6Elv1 + 2Llv2,50,-328,6,26/4/23,3Rlv3 OK,,,YES,,,,,,,,,,,,
4.6,RAREMHTE-020,136,1.5,,,134.5,F,83.74,,200,-65.5,,26/4/23,3Rlv3 OK,,,YES,,,,,,,,,,,,
11,RAREMHTE-020,300,1.5,,,298.5,F,83.34,,,298.5,,27/4/23,3Rlv2 F,,NO,,,,,,,,,,,,,
2.8,RARE-WL-1041,,3,,,-3,F,87.18,,,-3,,27/4/23,3Rlv2 F,,NO,,,,,,,,,,,,,
7.2,RAREMHTE-020,200,1.5,,,198.5,F,82.96,,,198.5,,28/4/23,3Rlv3 OK,,,YES,,,,,,,,,,,,
3.2,RARE-WL-1041,,4.5,,3,-4.5,F,87.11,,,-4.5,,28/4/23,3Rlv3 OK,,,YES,,,,,,,,,,,,
5,UNC-WEG-168,99,6.6,,,92.4,F,52.92,,,92.4,,28/4/23,3Rlv2 OK,,YES,,,,,,,,,,,,,
8,RAREMHTE-020,230,3,,,227,F,82.76,,,227,,29/4/23,3Rlv2 F,,NO,,,,,,,,,,,,,
13.6,RARE-WL-1041,,12,270,14.76,-282,6,86.62,6Llv1 + 1Rlv2,,-282,2,29/4/23,3Llv2 OK,,YES,,,,,,,,,,,,,
10.2,RAREMHTE-020,291,1.5,,,289.5,F,82.36,,,289.5,,30/4/23,3Llv2 OK,,YES,,,,,,,,,,,,,
9,RARE-WL-1041,,4.5,,8.5,-4.5,F,86.18,,100,-104.5,,1/5/23,3Llv2 OK,,YES,,,,,,,,,,,,,
11,RAREMHTE-020,300,1.5,,,298.5,F,81.91,,100,198.5,,1/5/23,3Rlv3 OK ,,,YES,,,,,,,,,,,,
11,RAREMHTE-020,300,1.5,,,298.5,F,81.49,,100,198.5,,2/5/23,3Rlv3 OK,,,YES,,,,,,,,,,,,
24,RARE-WL-1041,,28.5,530,21.5,-558.5,7,85.66,10Llv1 + 3Rlv2,200,-758.5,6,3/5/23,3Rlv3 F,,,NO,,,,,,,,,,,,
8,UNC-WEG-168,160,11.1,,,148.9,F,52.27,,100,48.9,,4/5/23,3Rlv3 F,,,NO,,,,,,,,,,,,
4.6,RAREMHTE-020,129,1.5,,,127.5,F,81.29,,50,77.5,,4/5/23,3Clv1 OK,YES,,,,,,,,,,,,,,
10.4,RAREMHTE-020,300,1.5,,,298.5,F,80.71,,50,248.5,,5/5/23,3Clv1 OK,YES,,,,,,,,,,,,,,
2.2,RARE-WL-1041,,3,,1.81,-3,F,85.36,,50,-53,,5/5/23,3Clv1 F,NO,,,,,,,,,,,,,,
12.6,RARE-WL-1041,,15,260,10.1,-275,6,85.06,6Elv1 + 2Rlv2,50,-325,3,6/5/23,3Clv2 F,,NO,,,,,,,,,,,,,
13.2,RARE-WL-1041,,15,263,14.45,-278,6,84.72,6Elv1 + 2Elv2,50,-328,7,7/5/23,3Clv2 OK,,YES,,,,,,,,,,,,,
16,UNC-WEG-168,300,12.3,,,287.7,F,51.35,,50,237.7,,7/5/23,3Clv2 F,,NO,,,,,,,,,,,,,
6,RARE-WL-1041,,4.5,,5.9,-4.5,F,84.52,,50,-54.5,,8/5/23,3Clv1 OK,YES,,,,,,,,,,,,,,
8.6,RAREMHTE-020,245,1.5,,,243.5,F,80.38,,50,193.5,,8/5/23,3Rlv3 OK,,,YES,,,,,,,,,,,,
2.6,UNC-WEG-168,54,3.3,,,50.7,F,51.14,,50,0.7,,8/5/23,3Elv2 OK,,YES,,,,,,,,,,,,,
12.4,RARE-WL-1041,,15,258,11,-273,6,84.25,6Elv1 + 2Rlv2,50,-323,3,9/5/23,3Elv2 F,,NO,,,,,,,,,,,,,
10,RAREMHTE-020,282,1.5,,,280.5,F,79.54,,50,230.5,,10/5/23,3Clv2 F,,NO,,,,,,,,,,,,,
8,UNC-WEG-168,150,11.1,,,138.9,F,50.68,,50,88.9,,11/5/23,3Rlv3 OK,,,YES,,,,,,,,,,,,
10,RARE-WL-1041,,13.5,,8.8,-13.5,F,83.95,,50,-63.5,,11/5/23,3Rlv2 OK,,YES,,,,,,,,,,,,,
5.2,RAREMHTE-020,153,1.5,,,151.5,F,79.34,,50,101.5,,11/5/23,3Rlv2 OK,,YES,,,,,,,,,,,,,
2,RARE-WL-1041,,3,,1.81,-3,F,83.88,,50,-53,,11/5/23,3Rlv3 OK,,,YES,,,,,,,,,,,,
10.8,RAREMHTE-020,300,1.5,,,298.5,F,78.92,,50,248.5,,12/5/23,3Rlv2 OK,,YES,,,,,,,,,,,,,
4,RARE-WL-1041,,3,,4,-3,F,83.81,,50,-53,,12/5/23,3Rlv2 OK,,YES,,,,,,,,,,,,,
10.8,RAREMHTE-020,300,1.5,,,298.5,F,,,50,248.5,,13/5/23,3Clv1 F,NO,,,,,,,,,,,,,,
7,RARE-WL-1041,,13.5,,7.2,-13.5,F,,,50,-63.5,,13/5/23,3Rlv3 OK,,,YES,,,,,,,,,,,,
10.8,RAREMHTE-020,300,1.5,,,298.5,F,78.12,,50,248.5,,14/5/23,3Rlv3 OK,,,YES,,,,,,,,,,,,
10,RARE-WL-1041,,13,,9.5,-13,F,83.31,,50,-63,,14/5/23,3Rlv3 F,,,NO,,,,,,,,,,,,
11.4,RARE-WL-1041,,13,530,9.91,-543,7,83.04,10Clv1 + 4Rlv2 ,50,-593,11,15/5/23,3Llv3 F,,,NO,,,,,,,,,,,,
4.6,WL-925,65,5.76,,,59.24,F,84.68,,50,9.24,,15/5/23,3Clv2 F,,NO,,,,,,,,,,,,,
12.2,RARE-WL-1041,,13,109,10.8,-122,5,82.74,3Clv1 + 1Clv2,50,-172,12,16/5/23,3Rlv3 OK,,,YES,,,,,,,,,,,,
11.4,RARE-WL-1041,,13,290,9.7,-303,6,82.44,6Elv1 + 2Rlv2 + SUNC,50,-353,7,16/5/23,3Rlv3 OK,,,YES,,,,,,,,,,,,
11,RAREMHTE-020,300,1.5,,,298.5,F,77.68,,50,248.5,,16/5/23,3Llv3 OK,,,YES,,,,,,,,,,,,
5,RAREMHTE-020,150,1.5,,,148.5,F,77.48,,50,98.5,,17/5/23,3Llv3 OK,,,YES,,,,,,,,,,,,
9,UNCO-WG-2524,150,6.64,,,143.36,F,99.68,,50,93.36,,17/5/23,3Llv3 F,,,NO,,,,,,,,,,,,
5.4,RARE-WL-1041,,13,,4.4,-13,F,82.44,,50,-63,,18/5/23,3Rlv3 F,,,NO,,,,,,,,,,,,
11,RAREMHTE-020,300,1.5,,,298.5,F,77.08,,50,248.5,,18/5/23,3Llv3 OK,,,YES,,,,,,,,,,,,
15,RARE-WL-1041,,13,255,12.2,-268,6,82.44,6Clv1 + 2Rlv2,50,-318,5,19/5/23,3Rlv3 OK,,,YES,,,,,,,,,,,,
7.2,RAREMHTE-020,190,1.5,,,188.5,F,76.78,,50,138.5,,19/5/23,3Rlv3 OK,,,YES,,,,,,,,,,,,
10.2,RAREMHTE-020,300,1.5,,,298.5,F,76.01,,50,248.5,,20/5/23,3Clv1 F,NO,,,,,,,,,,,,,,
3,RARE-WL-1041,,3,,2,-3,F,81.81,,50,-53,,20/5/23,3Clv2 OK,,YES,,,,,,,,,,,,,
3.8,UNCO-WG-2524,59,4,,,55,F,99.63,,50,5,,21/5/23,3Clv1 F,NO,,,,,,,,,,,,,,
12.8,UNC-WEG-168,240,12.3,,,227.7,F,49.94,,50,177.7,,21/5/23,3Clv1 OK,YES,,,,,,,,,,,,,,
5.2,UNCO-WG-2524,79,4,,,75,F,99.58,,50,25,,22/5/23,3Clv1 OK,YES,,,,,,,,,,,,,,
7.6,RAREMHTE-020,230,1.5,,,228.5,F,75.53,,200,28.5,,22/5/23,3Rlv3 F,,,NO,,,,,,,,,,,,
6.2,RARE-WL-1041,,7.5,,3.72,-7.5,F,81.47,,50,-57.5,,22/5/23,3Rlv3 F,,,NO,,,,,,,,,,,,
11,RAREMHTE-020,300,1.5,,,298.5,F,74.88,,50,248.5,,23/5/23,3Rlv3 F,,,NO,,,,,,,,,,,,
10.2,RARE-WL-1041,,13,,6.4,-13,F,81.17,,100,-113,,23/5/23,3Rlv3 F,,,NO,,,,,,,,,,,,
18,WL-925,270,28,105,,137,5,83.55,3Clv1 + 1Clv2,100,37,9,24/5/23,2Elv2 F,,NO,,,,,,,,,,,,,
15.4,UNC-WEG-168,295,19,,,276,F,49.04,,50,226,,25/5/23,3Rlv3 F,,,NO,,,,,,,,,,,,
18.6,UNC-WL-432,50,2,258,,-210,6,25.62,6Elv1 + 2Elv2 + SUNC,50,-260,11,26/5/23,3Rlv3 OK,,,YES,,,,,,,,,,,,
6.8,C-T-946,125,9,,,116,F,99.37,,50,66,,26/5/23,3Rlv3 OK,,,YES,,,,,,,,,,,,
6.2,UNC-WEG-168,115,8,,,107,F,48.68,,50,57,,26/5/23,3Rlv3 OK,,,YES,,,,,,,,,,,,
13.2,C-T-946,242,19.92,106,,116.08,4,98.17,2Clv1 ,50,66.08,1.5,27/5/23,3Rlv3 OK,,,YES,,,,,,,,,,,,
17.8,C-T-946,300,24,107,,169,5,96.47,3Llv1 + 1Llv2,200,-31,3.3,28/5/23,3Rlv3 OK,,,YES,,,,,,,,,,,,
16.2,C-T-946,300,24,101,,175,5,94.87,3Llv1 + 1Llv2,100,75,3.3,29/5/23,3Rlv2 F,,NO,,,,,,,,,,,,,
10,UNCO-WG-2524,164,13,,,151,F,99.47,,200,-49,,30/5/23,3Rlv3 F,,,NO,,,,,,,,,,,,
9.8,C-T-946,160,24,79,,57,4,94.17,2Rlv1 ,200,-143,0.5,31/5/23,3Elv2 F,,NO,,,,,,,,,,,,,
4.8,C-T-946,85,12,,,73,F,93.62,,,73,,31/5/23,3Elv2 F,,NO,,,,,,,,,,,,,
5,C-T-946,94,12,,,82,F,93.12,,200,-118,,1/6/23,3Elv2 OK,,YES,,,,,,,,,,,,,
11,C-T-946,200,16,,,184,F,,,200,-16,,1/6/23,3Elv3 F,,,NO,,,,,,,,,,,,
16,C-T-946,300,42,,,258,F,,,200,58,,2/6/23,3Clv1 OK,YES,,,,,,,,,,,,,,
13.8,C-T-946,249,32,,,217,F,,,50,167,,3/6/23,3Clv1 OK,YES,,,,,,,,,,,,,,
16.6,C-T-946,300,15,79,,206,4,88.26,2Rlv1 ,50,156,0.5,4/6/23,3Rlv3 OK,,,YES,,,,,,,,,,,,
3.2,RARE-WL-1041,,3,,2.5,-3,F,,,50,-53,,4/6/23,3Clv1 F,NO,,,,,,,,,,,,,,
3,RARE-WL-1041,,3,,2.9,-3,F,80.71,,200,-203,,5/6/23,3Clv1 OK,YES,,,,,,,,,,,,,,
16.2,C-T-946,300,22.4,177,,100.6,5,86.11,3Elv1 + 1Elv2,200,-99.4,3.3,5/6/23,3Rlv3 OK,,,YES,,,,,,,,,,,,
16.4,C-T-946,300,22.4,90,,187.6,4,84.95,2Elv1 + 1Rlv2,200,-12.4,1,6/6/23,3Rlv2 OK,,YES,,,,,,,,,,,,,
9,RARE-WL-1041,,13,87,5.6,-100,4,80.31,2Llv1,100,-200,0.4,6/6/23,3Rlv2 F,,NO,,,,,,,,,,,,,
16.4,C-T-946,300,22.4,201,,76.6,5,83.75,3Elv1 + 1Elv2,50,26.6,4,7/6/23,3Rlv2 OK,,YES,,,,,,,,,,,,,
16.6,C-T-946,300,22.4,112,,165.6,5,81.25,3Elv1 + 1Elv2,50,115.6,4,8/6/23,3Rlv3 OK,,,YES,,,,,,,,,,,,
16.4,C-T-946,300,22.4,103,,174.6,5,79.85,3Rlv1 + 1Rlv2,50,124.6,,9/6/23,3Rlv2 OK,,YES,,,,,,,,,,,,,
2,RARE-WL-1041,,3,,1.2,-3,F,80.27,,50,-53,,9/6/23,3Clv1 F,NO,,,,,,,,,,,,,,
16.2,C-T-946,300,22.4,,,277.6,F,78.25,,50,227.6,,10/6/23,3Llv1 F,NO,,,,,,,,,,,,,,
16.4,C-T-946,300,22.4,100,,177.6,5,76.65,3Elv1 + 1Llv2,50,127.6,3,11/6/23,3Llv1 F,NO,,,,,,,,,,,,,,
5,RARE-WL-1041,,3,,3.35,-3,F,80.21,,100,-103,,11/6/23,3Llv1 F,NO,,,,,,,,,,,,,,
6.4,C-T-946,113,8.3,,,104.7,F,76.08,,200,-95.3,,12/6/23,3Llv1 F,NO,,,,,,,,,,,,,,
6.6,RAREMHTE-020,185,1.5,,,183.5,F,74.48,,200,-16.5,,12/6/23,3Llv1 F,NO,,,,,,,,,,,,,,
8.4,RARE-WL-1041,,13,100,5,-113,4,79.96,2Rlv1,100,-213,0.4,12/6/23,3Llv1 F,NO,,,,,,,,,,,,,,
10.6,RAREMHTE-020,300,1.5,,,298.5,F,73.84,,50,248.5,,13/6/23,3Llv1 F,NO,,,,,,,,,,,,,,
12.6,RARE-WL-1041,,15,105,7.62,-120,4,79.51,2Elv1 + SUNC,50,-170,4,14/6/23,3Llv1 F,NO,,,,,,,,,,,,,,
5.4,RAREMHTE-020,155,1.5,,,153.5,F,73.38,,50,103.5,,14/6/23,3Llv1 F,NO,,,,,,,,,,,,,,
5,UNCO-WG-2524,76,5,,,71,F,98.77,,50,21,,14/6/23,3Llv1 F,NO,,,,,,,,,,,,,,
10.4,RAREMHTE-020,298,1.5,,,296.5,F,72.87,,50,246.5,,15/6/23,3Llv1 F,NO,,,,,,,,,,,,,,
5,RARE-WL-1041,,3,23,3,-26,3,79.38,2Rlv1,50,-76,0.4,15/6/23,3Elv1 F,NO,,,,,,,,,,,,,,
7,RARE-WL-1041,,3,27,5,-30,3,79.16,1Elv1,200,-230,0.2,16/6/23,3Elv1 F,NO,,,,,,,,,,,,,,
8,C-T-946,150,12,100,,38,5,75.34,3Elv1 + 1Elv2,200,-162,3.5,16/6/23,3Elv1 F,NO,,,,,,,,,,,,,,
4.4,RAREMHTE-020,127,1.5,,,125.5,F,72.61,,200,-74.5,,16/6/23,3Elv1 F,NO,,,,,,,,,,,,,,
15.6,C-T-946,291,21,130,,140,5,73.81,3Rlv1 + 1Rlv2,200,-60,1,17/6/23,3Elv1 F,NO,,,,,,,,,,,,,,
5,UNC-WL-432,9,1,80,,-72,4,25.22,2Llv1,50,-122,0.4,18/6/23,3Elv1 F,NO,,,,,,,,,,,,,,
15,C-T-946,280,,100,,180,5,73.01,3Rlv1 + 1Elv2,50,130,2,19/6/23,3Elv1 OK,YES,,,,,,,,,,,,,,
14.8,C-T-946,273,21,,,252,F,72.28,,50,202,,19/6/23,3Elv1 OK,YES,,,,,,,,,,,,,,
10.6,RARE-WL-1041,,15,100,7.3,-115,5,78.79,3Clv1 + 1Clv2,100,-215,12,19/6/23,3Elv1 OK,YES,,,,,,,,,,,,,,
